product_id,name,category,color,style,purposes,body_shapes,price,season,stock,url
TOP001,미니멀 화이트 셔츠,top,화이트,미니멀,데일리|데이트|출근,상체 강조형|하체 강조형|균형형,59000,사계절,true,
TOP002,네이비 세미오버 니트,top,네이비,미니멀,데일리|데이트|출근,상체 강조형|균형형,69000,가을|겨울,true,
TOP003,베이지 크롭 재킷,top,베이지,캐주얼,데일리|데이트,하체 강조형|균형형,89000,봄|가을,true,
TOP004,그레이 베이직 티셔츠,top,그레이,캐주얼,데일리|여행,상체 강조형|균형형,29000,여름|사계절,true,
TOP005,블루 포인트 셔츠,top,블루,스트리트,데이트|여행,하체 강조형|균형형,62000,봄|가을,true,
TOP006,블랙 테일러드 재킷,top,블랙,포멀,출근|데이트,상체 강조형|균형형,129000,봄|가을,true,
BOT001,블랙 스트레이트 슬랙스,bottom,블랙,포멀,출근|데이트,하체 강조형|균형형,69000,사계절,true,
BOT002,라이트 블루 와이드 데님,bottom,블루,캐주얼,데일리|여행,상체 강조형|균형형,79000,사계절,true,
BOT003,베이지 세미와이드 팬츠,bottom,베이지,미니멀,데일리|데이트|출근,상체 강조형|균형형,72000,봄|가을,true,
BOT004,네이비 테이퍼드 팬츠,bottom,네이비,미니멀,데일리|출근,하체 강조형|균형형,68000,사계절,true,
BOT005,그레이 조거 팬츠,bottom,그레이,스포티,데일리|여행,하체 강조형|균형형,49000,사계절,true,
BOT006,화이트 A라인 스커트,bottom,화이트,로맨틱,데이트|데일리,상체 강조형|균형형,65000,봄|여름,true,
